doc_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,cue,text,raw_line
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,97,dialogue,dialogue,,二黄摇板,听说是黑水国兴兵犯境，,（二黄摇板） 听说是黑水国兴兵犯境，
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,99,narration,narration,,,眼见得一家人四下离分。,眼见得一家人四下离分。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,101,dialogue,dialogue,,白,大伯伯，何不收拾收拾，逃往潼关我兄弟那里，安身才是。,（白） 大伯伯，何不收拾收拾，逃往潼关我兄弟那里，安身才是。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,103,dialogue,dialogue,邓伯道,白,好，后面收拾收拾。,邓伯道 （白） 好，后面收拾收拾。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,105,stage_direction,stage_direction,,金氏、邓元、邓方同下。,,（金氏、邓元、邓方同下。）
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,107,dialogue,dialogue,邓伯道,叫头,众家丁！,邓伯道 （叫头） 众家丁！
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,109,dialogue,dialogue,二家院,同白,有。,二家院 （同白） 有。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,111,dialogue,dialogue,邓伯道,白,今有黑水国造反，看看杀到我庄。我带领二东人，前去逃命。将这万贯家财，付与你等掌管。倘若贼兵不到此地，我回来将这家财，与你等平分一半；倘若贼兵到此，你们各自逃命去罢。,邓伯道 （白） 今有黑水国造反，看看杀到我庄。我带领二东人，前去逃命。将这万贯家财，付与你等掌管。倘若贼兵不到此地，我回来将这家财，与你等平分一半；倘若贼兵到此，你们各自逃命去罢。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,113,dialogue,dialogue,二家院,同白,哦呵，员外，将这万贯家财，交与我等执掌，料然无事。,二家院 （同白） 哦呵，员外，将这万贯家财，交与我等执掌，料然无事。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,115,dialogue,dialogue,邓伯道,白,好，真乃忠义之士。改扮起来。,邓伯道 （白） 好，真乃忠义之士。改扮起来。
