doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01003002___acc415186d,群英会,3,【第三场】,诸葛亮,鲁肃,求助,求助,3,诸葛亮向鲁肃求救，并借战船二十支,,llm,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,诸葛亮,鲁肃,劝阻,劝阻,2,诸葛亮阻止鲁肃下船，劝其饮酒,,llm,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,诸葛亮,曹操,对抗,对抗,3,诸葛亮设计诱使曹操放箭,,llm,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,曹操,蒋干,命令,命令,2,曹操命令蒋干放箭,,llm,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,蒋干,曹操,汇报,汇报,1,蒋干向曹操报告人声呐喊,,llm,
pdf_01000000__01003002___acc415186d,群英会,4,【第六场】,鲁肃,诸葛亮,劝阻,劝阻,1,鲁肃劝阻诸葛亮前往曹营,,llm,
pdf_01000000__01003002___acc415186d,群英会,5,【第七场】,鲁肃,诸葛亮,评价,评价,1,"服你好阴阳,好八卦,怎么知道今夜有此大雾?",pdf_01000000__01003002___acc415186d__line__000115,llm,
pdf_01000000__01003002___acc415186d,群英会,5,【第七场】,诸葛亮,鲁肃,评价,评价,1,"我服你在舟中饮酒,浑身哪哪哪战抖",pdf_01000000__01003002___acc415186d__line__000115,llm,
pdf_01000000__01003002___acc415186d,群英会,6,【第八场】,鲁肃,周瑜,汇报,汇报,2,鲁肃向周瑜详细报告孔明造箭经过。,,llm,
pdf_01000000__01003002___acc415186d,群英会,6,【第八场】,周瑜,诸葛亮,评价,评价,3,周瑜惊叹'孔明真乃神人也'。,,llm,
